final-fantasy, 30.781770056904676
water-elephants, 26.940665456175882
year-old, 23.17600328752318
long-time, 22.375133262840777
first-time, 20.85282074617828
story-line, 20.157087163780762
game-play, 19.76736874783025
resident-evil, 19.752243193639085
read-book, 19.580722317160255
video-game, 19.497825007331237
old-man, 19.12258107744041
main-character, 18.6954164381802
great-game, 18.601757506929964
nursing-home, 18.22430128880878
dance-dragons, 18.203550799184914
next-book, 17.557524046944746
circus-life, 17.478372914371842
half-life, 17.05528730842174
sara-gruen, 16.44507295573521
great-product, 16.15503865435904
game-fun, 16.14680006606605
easy-install, 16.13686322870355
fun-game, 16.02822714015954
single-player, 16.000775136643053
game-best, 15.937614211173964
game-boy, 15.730381394066342
play-game, 15.543795358783324
super-mario, 15.50104340309212
easy-use, 15.330669485725616
star-wars, 14.940945021381058
video-games, 14.88464566628973
quot-quot, 14.880024584894514
fantasy-vii, 14.87251763944431
years-old, 14.734517339258556
best-games, 14.619087026191211
best-game, 14.578683968642403
character-development, 14.519481022938837
ocarina-time, 14.441296151554821
depression-era, 14.230040998570438
george-martin, 14.21395994164186
many-times, 14.194133693043977
game-great, 14.142137014927355
memory-card, 14.122522574581161
tomb-raider, 14.031670729078101
robert-jordan, 14.025585775026975
street-fighter, 13.59112834059584
jacob-jankowski, 13.571376241000534
roller-coaster, 13.521831434674233
books-series, 13.496937629193896
many-people, 13.40872698254882
ice-fire, 13.39778499809255
main-characters, 13.235018435473553
great-read, 13.136906116510534
sonic-adventure, 13.113044949095414
red-mars, 13.110735734961152
graphics-good, 13.105708238507404
easy-read, 13.098364463118555
worth-money, 12.99189037391925
many-years, 12.991711978362893
great-story, 12.964912313116931
brand-new, 12.957442346649264
waste-money, 12.951006654507262
much-fun, 12.85273469350751
feast-crows, 12.839813788191874
book-movie, 12.823001323276355
book-book, 12.809719569793115
game-thrones, 12.804854909418845
tom-clancy, 12.796347578177707
life-circus, 12.757498383299527
book-read, 12.732812738555666
civil-war, 12.706160916348804
playing-game, 12.702867857307952
young-man, 12.643792569572547
replay-value, 12.59791955522663
movie-book, 12.590857616502277
several-times, 12.561658706261305
book-series, 12.499198554047284
first-person, 12.437034470327074
song-ice, 12.357780264664738
heavy-duty, 12.15332974466808
soul-calibur, 12.078252491987847
john-clark, 12.071994900848143
good-quality, 12.055018384599885
battle-system, 11.976057814688788
little-bit, 11.833620017605508
beat-game, 11.81807258239379
best-books, 11.807794784441473
expansion-pack, 11.776683872349961
great-job, 11.768192336650506
great-price, 11.744946207104409
great-depression, 11.55463784606491
story-lines, 11.521395662183213
science-fiction, 11.515830518248732
crash-bandicoot, 11.439306871720465
waste-time, 11.326127834459383
sound-effects, 11.289363077107541
great-book, 11.28928687719545
world-war, 11.246497934615432
real-life, 11.211297952514837
theme-park, 11.160064936227936
game-good, 11.09501554651775
game-graphics, 10.997049640883931
spanish-civil, 10.994434580913572
many-different, 10.96389292431183
great-deal, 10.934085019859857
lot-fun, 10.893312857444679
good-read, 10.868551241547822
page-turner, 10.76026937594172
buy-game, 10.754756356962632
sega-dreamcast, 10.74361892373292
coaster-tycoon, 10.71882852676962
graphics-great, 10.690415188736402
good-condition, 10.62266453451406
high-quality, 10.602285387174614
best-part, 10.487080839150927
fun-play, 10.45332012253083
bell-tolls, 10.438107838613544
time-period, 10.433491141493167
love-game, 10.394853575553546
book-club, 10.338782879636668
boy-color, 10.1722393967972
old-school, 10.138228941013718
several-years, 10.067126163295587
good-product, 10.05076245946075
old-jacob, 10.041517453329941
love-story, 9.999259653873926
book-anyone, 9.99229471898212
mini-games, 9.921371549973603
good-job, 9.907079647701252
previous-books, 9.906471557098318
jack-ryan, 9.894658385375747
wonderful-story, 9.869691377810744
last-year, 9.858130415284785
big-deal, 9.82077014485367
benzini-brothers, 9.79455108374844
player-mode, 9.79002141093678
bad-guys, 9.734247456058409
historical-fiction, 9.720208915921289
battle-net, 9.670070958148965
much-better, 9.655436865710836
wait-next, 9.611487556006812
new-characters, 9.601037356589071
played-game, 9.596678679047427
many-characters, 9.591414104550864
bottom-line, 9.561678926119976
great-condition, 9.514092363116587
perfect-condition, 9.51303566114147
power-wheels, 9.490424199353463
book-much, 9.489642664440574
game-awesome, 9.488221436314115
amazon-com, 9.467652953177794
last-long, 9.46090409192642
legend-zelda, 9.42314396423547
high-school, 9.383354817991362
survival-horror, 9.376308959566217
real-time, 9.336538337294598
car-battery, 9.318730585417116
many-games, 9.259177699572998
person-shooter, 9.257098219179081
strategy-game, 9.2479618292891
awesome-game, 9.233270796720605
book-good, 9.197646311260444
game-anyone, 9.167501431618092
strategy-games, 9.164078723554782
donkey-kong, 9.108951805127806
game-much, 9.0979911658803
book-great, 9.086658745600522
point-view, 9.06426861970465
brood-war, 9.03938865663767
war-remembrance, 8.985320015910464
multi-player, 8.975726674014629
end-book, 8.96888836280659
good-thing, 8.963182574118768
recommend-book, 8.929193214527377
jumper-cables, 8.881668572365065
customer-service, 8.88007685599691
good-book, 8.856490133545408
past-present, 8.85585022829087
first-books, 8.826143071205399
characters-story, 8.824502278994933
era-circus, 8.818482010924228
last-years, 8.817589063765343
best-thing, 8.733978296345748
good-story, 8.724404976683742
present-day, 8.72285110299723
winds-war, 8.69132195806534
game-years, 8.678602891206435
game-worth, 8.660338966707322
worth-price, 8.658889154017258
storm-swords, 8.657875868655479
great-graphics, 8.649818730017033
good-price, 8.63520200100595
amount-time, 8.634267698608504
top-notch, 8.590822250759036
wonderful-book, 8.587975861144104
quality-product, 8.568306874966417
read-reviews, 8.54394354821569
many-things, 8.540772776164603
